  OR     |  80 results |  243.4ms | 'O Senhor te abençoe e te guarde'
  AND    |   4 results |   15.9ms | 'O Senhor te abençoe e te guarde'
  NEAR   |   0 results |    0.3ms | 'O Senhor te abençoe e te guarde'
  OR     |  80 results |  219.7ms | 'Porque Deus amou o mundo de tal maneira'
  AND    |   5 results |   13.3ms | 'Porque Deus amou o mundo de tal maneira'
  NEAR   |   0 results |    0.3ms | 'Porque Deus amou o mundo de tal maneira'
  OR     |  80 results |  248.8ms | 'O Senhor é meu pastor nada me faltará'
  AND    |   7 results |   17.2ms | 'O Senhor é meu pastor nada me faltará'
  NEAR   |   0 results |    0.3ms | 'O Senhor é meu pastor nada me faltará'
  OR     |  80 results |  129.6ms | 'Tudo posso naquele que me fortalece'
  AND    |   2 results |    6.5ms | 'Tudo posso naquele que me fortalece'
  NEAR   |   0 results |    0.2ms | 'Tudo posso naquele que me fortalece'
  OR     |  80 results |  264.6ms | 'No princípio criou Deus os céus e a terr'
  AND    |   6 results |   19.8ms | 'No princípio criou Deus os céus e a terr'
  NEAR   |   0 results |    0.3ms | 'No princípio criou Deus os céus e a terr'
